,F,I,M,Length,Diameter,Height,Whole weight,Shucked weight,Viscera weight,Shell weight,age
2830,1,0,0,0.525,0.43,0.135,0.8435,0.4325,0.18,0.1815,10.5
925,0,1,0,0.43,0.325,0.1,0.3645,0.1575,0.0825,0.105,8.5
3845,0,0,1,0.455,0.35,0.105,0.416,0.1625,0.097,0.145,12.5
547,0,0,1,0.205,0.155,0.045,0.0425,0.017,0.0055,0.0155,8.5
2259,1,0,0,0.59,0.465,0.16,1.1005,0.506,0.2525,0.295,14.5
3588,0,0,1,0.65,0.515,0.185,1.3745,0.75,0.1805,0.369,13.5
1450,0,1,0,0.455,0.335,0.135,0.501,0.274,0.0995,0.1065,8.5
2827,0,1,0,0.5,0.375,0.12,0.529,0.2235,0.123,0.16,9.5
2233,0,0,1,0.595,0.475,0.17,1.0965,0.419,0.229,0.35,18.5
611,0,0,1,0.195,0.145,0.05,0.032,0.01,0.008,0.012,5.5
2337,0,0,1,0.56,0.455,0.165,0.86,0.4015,0.1695,0.245,12.5
3896,0,0,1,0.76,0.575,0.19,1.829,0.7035,0.386,0.56,15.5
1948,0,0,1,0.635,0.515,0.165,1.229,0.5055,0.2975,0.3535,11.5
2077,1,0,0,0.61,0.43,0.14,0.909,0.438,0.2,0.22,9.5
742,1,0,0,0.535,0.42,0.15,0.7365,0.2785,0.186,0.215,15.5
637,0,0,1,0.355,0.26,0.085,0.1905,0.081,0.0485,0.055,7.5
2429,0,0,1,0.34,0.255,0.095,0.213,0.081,0.034,0.07,10.5
3500,0,0,1,0.6,0.41,0.145,0.939,0.4475,0.196,0.268,9.5
2696,1,0,0,0.65,0.49,0.155,1.122,0.545,0.228,0.3055,10.5
1097,0,1,0,0.48,0.38,0.125,0.6245,0.3395,0.1085,0.1665,9.5
2346,1,0,0,0.56,0.43,0.125,0.8025,0.313,0.1715,0.263,14.5
48,0,1,0,0.325,0.245,0.07,0.161,0.0755,0.0255,0.045,7.5
3909,1,0,0,0.455,0.375,0.125,0.458,0.1985,0.111,0.12,11.5
921,0,1,0,0.42,0.32,0.115,0.376,0.169,0.092,0.1,6.5
3792,1,0,0,0.655,0.52,0.175,1.472,0.6275,0.27,0.45,14.5
756,0,0,1,0.615,0.525,0.155,1.1375,0.367,0.236,0.37,21.5
2619,0,0,1,0.69,0.54,0.185,1.71,0.7725,0.3855,0.4325,9.5
3610,0,0,1,0.58,0.45,0.16,0.8675,0.3935,0.221,0.215,10.5
3900,0,0,1,0.445,0.345,0.14,0.476,0.2055,0.1015,0.1085,16.5
2453,0,1,0,0.325,0.2,0.08,0.0995,0.0395,0.0225,0.032,9.5
3828,0,0,1,0.68,0.52,0.175,1.543,0.7525,0.351,0.374,12.5
1498,0,0,1,0.625,0.47,0.18,1.136,0.451,0.3245,0.305,12.5
3687,0,1,0,0.625,0.485,0.16,1.15,0.5255,0.257,0.3315,12.5
836,0,0,1,0.47,0.375,0.12,0.5805,0.266,0.0935,0.169,9.5
2932,0,0,1,0.615,0.455,0.15,0.9335,0.382,0.247,0.2615,11.5
3163,1,0,0,0.55,0.44,0.125,0.765,0.33,0.2125,0.245,10.5
4022,0,0,1,0.72,0.545,0.195,1.7475,0.8215,0.383,0.4705,12.5
1456,0,1,0,0.475,0.365,0.115,0.459,0.2175,0.093,0.1165,8.5
2986,0,0,1,0.535,0.405,0.175,1.2705,0.548,0.3265,0.337,14.5
1511,0,0,1,0.65,0.515,0.175,1.466,0.677,0.3045,0.4,11.5
1070,0,1,0,0.375,0.275,0.1,0.2325,0.1165,0.042,0.065,7.5
3916,1,0,0,0.52,0.41,0.16,0.712,0.2845,0.153,0.225,11.5
3964,0,1,0,0.27,0.19,0.06,0.099,0.0445,0.017,0.03,6.5
2123,1,0,0,0.29,0.21,0.075,0.275,0.113,0.0675,0.035,7.5
2704,0,0,1,0.7,0.525,0.175,1.7585,0.8745,0.3615,0.47,11.5
