iter	RMSE
0	2.855128873
1	2.648790031
2	2.511671711
3	2.385415987
4	2.306538837
5	2.261344429
6	2.241803319
7	2.195764291
8	2.176368152
9	2.149598643
10	2.133236277
11	2.117783981
12	2.109500266
13	2.096170732
14	2.078981304
15	2.061493113
16	2.055201198
17	2.046079715
18	2.036356651
19	2.02304828
20	2.011246652
21	2.000589123
22	1.99257751
23	1.983586816
24	1.976519243
25	1.961403137
26	1.9550291
27	1.939840731
28	1.926153205
29	1.917495443
30	1.912558303
31	1.899102445
32	1.894665631
33	1.890053621
34	1.885974973
35	1.8749753
36	1.867924176
37	1.859564325
38	1.856489606
39	1.846137479
40	1.830558016
41	1.821487458
42	1.817643967
43	1.813390311
44	1.80822846
45	1.798114654
46	1.791627206
47	1.788517476
48	1.785558263
49	1.777313223
50	1.77073978
51	1.767066806
52	1.764224762
53	1.757757996
54	1.75118315
55	1.742499201
56	1.735620348
57	1.727723681
58	1.723668111
59	1.722737573
60	1.712882163
61	1.709349947
62	1.704797596
63	1.695372571
64	1.69155129
65	1.684331336
66	1.681926723
67	1.678792701
68	1.67223158
69	1.670016827
70	1.662919291
71	1.655414665
72	1.647895912
73	1.640042886
74	1.637600223
75	1.636799453
76	1.630518117
77	1.626245249
78	1.616679521
79	1.608832826
80	1.605208818
81	1.599844049
82	1.592724321
83	1.584879241
84	1.579969341
85	1.571767287
86	1.566366609
87	1.564085919
88	1.560118827
89	1.553567338
90	1.552272815
91	1.546264378
92	1.538094379
93	1.534144386
94	1.528107466
95	1.527120181
96	1.52628114
97	1.521456433
98	1.520117332
99	1.51895004
