iter	Passed	Remaining
0	1	166
1	2	129
2	4	142
3	5	131
4	6	123
5	7	117
6	9	120
7	10	116
8	11	114
9	12	111
10	13	111
11	15	111
12	15	105
13	16	103
14	18	105
15	21	114
16	23	115
17	24	113
18	26	112
19	27	111
20	30	113
21	31	111
22	33	111
23	35	110
24	36	109
25	38	108
26	39	105
27	40	105
28	42	104
29	44	103
30	45	100
31	46	98
32	47	96
33	48	93
34	49	91
35	50	89
36	51	87
37	52	85
38	53	83
39	54	81
40	56	80
41	57	78
42	58	77
43	59	76
44	60	74
45	61	72
46	62	70
47	63	68
48	64	67
49	65	65
50	66	63
51	67	62
52	68	60
53	69	59
54	70	57
55	71	55
56	72	54
57	73	53
58	74	51
59	75	50
60	76	48
61	77	47
62	78	46
63	79	44
64	80	43
65	81	42
66	82	40
67	83	39
68	85	38
69	85	36
70	86	35
71	87	34
72	88	32
73	89	31
74	90	30
75	91	28
76	92	27
77	93	26
78	94	25
79	95	23
80	96	22
81	97	21
82	98	20
83	99	18
84	100	17
85	101	16
86	102	15
87	102	14
88	103	12
89	104	11
90	105	10
91	106	9
92	107	8
93	109	6
94	110	5
95	111	4
96	112	3
97	113	2
98	114	1
99	115	0
